uhhidfs,uhhidp,x1,x2,x3_1,x4_1,x5_1,x5_1other,x6_1,x7_1,x3_2,x4_2,x5_2,x5_2other,x6_2,x7_2,x3_3,x4_3,x5_3,x5_3other,x6_3,x7_3,x3_4,x4_4,x5_4,x5_4other,x6_4,x7_4,x3_5,x4_5,x5_5,x5_5other,x6_5,x7_5,x3_6,x4_6,x5_6,x5_6other,x6_6,x7_6,x3_7,x4_7,x5_7,x5_7other,x6_7,x7_7,x8,x9,x10,x11,x11other,x12,x13a,x13b,x15
1388,1001708,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,50,1,NA,WFP,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2156,1001235,1,1,4195333.333333333,371666.6666666667,1,NA,Afford,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2182,1001502,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
1398,1000649,1,1,2480000,14000,1,NA,WFP,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
1593,1001929,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
892,1000849,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,960000,80000,1,NA,World food program,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2393,1000043,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3500000,300000,1,NA,united nations agencies,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2780,1000720,1,1,2976666.6666666665,248000,3,NA,AFORD,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2905,1000074,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1023000,93000,1,NA,Afford,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2775,1001682,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
