uhhidfs,uhhidp,s1,s2,s3,s4,s5,s6,s7,s8
1875,3000582,2,2,3,4,4,Not so much doing business,3,2
1876,1001001,2,2,2,2,2,999,2,1
1877,1000924,1,2,1,2,2,999,1,1
1878,1001002,1,1,2,2,3,999,2,1
1879,1000917,2,2,2,1,2,999,1,2
1880,1000935,2,2,3,2,3,999,3,1
1881,1000936,2,1,1,1,2,999,2,1
1882,1001043,1,2,2,2,4,Not so much engaging in the market,3,3
1883,1001019,2,2,3,2,2,999,2,1
1884,1002010,2,2,2,2,3,999,2,4
1885,1000918,3,2,2,2,2,999,1,2
1886,1000945,2,1,3,2,3,999,2,3
1887,1000946,2,1,2,2,2,999,2,2
1888,1002072,2,2,2,2,3,999,2,3
1889,1001852,2,2,3,3,3,999,3,3
1890,1001042,2,2,2,2,3,999,3,2
1891,1002837,2,2,2,4,4,Language difference,4,1
1892,3000588,2,3,4,3,3,999,2,1
1893,3000235,1,1,2,3,2,999,3,2
1894,3001640,2,2,2,3,3,999,2,1
1895,3000236,1,1,2,2,2,999,1,1
1896,3000589,3,2,2,2,2,999,2,1
1897,1002832,2,2,2,3,2,999,3,1
1898,3000130,2,2,1,2,3,999,1,1
1899,1001051,1,1,2,2,2,999,2,3
1900,3001667,2,2,2,4,3,999,3,1
1901,1000928,2,2,2,2,3,999,3,3
1902,3000062,2,2,2,2,2,999,2,2
1903,1002834,2,2,2,5,4,They destroy people's property,4,1
1904,1001962,2,1,1,2,2,999,3,2
1905,3000131,2,2,2,2,2,999,2,2
1906,1002827,2,3,3,4,3,999,3,1
1907,1001905,1,2,2,3,2,999,1,2
1908,1002838,3,2,2,2,3,999,2,1
1909,1001998,2,1,2,3,3,999,2,2
1910,1002836,2,2,2,2,3,999,2,1
1911,3000119,3,2,1,2,2,999,2,2
1912,3002039,3,2,2,2,2,999,2,1
1913,3002038,2,2,2,2,2,999,2,1
1914,3002034,2,2,3,3,3,999,2,1
1915,1000671,1,2,1,2,3,0,1,1
1916,1000446,1,1,3,2,3,0,1,1
1917,2000359,2,1,1,2,1,None,2,1
1918,2000278,2,2,1,2,1,None,2,1
1919,2000277,1,2,1,2,1,None,2,1
1920,2000548,1,2,1,2,1,None,2,1
1921,2000015,1,2,2,2,1,None,1,2
1922,2000013,1,2,1,1,2,None,2,2
1923,2000014,2,1,2,1,2,None,2,1
1924,1000805,3,3,3,4,3,999,3,3
1925,1002152,1,2,2,3,2,0,2,1
1926,1002430,1,2,2,3,2,0,2,1
1927,1002149,1,2,2,3,2,0,2,1
1928,1002153,1,2,2,3,2,0,2,1
1929,1002434,1,2,2,3,2,0,2,1
1930,1000593,1,2,2,2,3,0,2,1
1931,1000594,1,2,2,3,2,0,2,1
1932,1000447,1,2,1,3,2,0,2,1
1933,1001149,3,2,2,2,3,0,2,1
1934,1001934,2,3,3,3,3,O,2,1
1935,1000765,3,3,3,3,2,0,2,4
1936,1001272,3,2,2,1,1,O,1,1
1937,1001273,2,2,2,2,2,O,2,1
1938,1000117,2,2,2,2,2,none,2,1
1939,1000506,3,2,2,1,1,0,2,3
1940,1000507,3,3,2,2,3,o,2,1
1941,1002312,3,2,2,2,2,0,1,1
1942,1001113,1,2,3,1,1,ⁿ,2,2
1943,1001111,1,2,2,2,2,0,2,1
1944,1001112,2,2,2,3,2,0,2,2
1945,3001416,1,2,3,3,2,999,2,1
1946,3001417,2,3,3,2,3,999,3,1
1947,3001415,3,2,2,3,3,999,3,1
1948,3001420,3,2,3,3,3,999,2,1
1949,3001419,3,2,2,3,3,999,2,1
1950,3001477,3,2,2,3,3,999,3,1
1951,3001414,2,2,3,3,3,999,2,1
1952,1000742,1,2,2,2,2,999,2,2
1953,1000744,1,1,1,2,3,999,3,2
1954,1000816,1,2,2,2,3,999,3,2
1955,1000641,2,2,1,2,1,999,3,2
1956,1000608,1,2,2,2,3,999,3,1
1957,1000815,1,2,2,3,3,999,3,3
1958,1000612,2,2,2,2,2,999,2,3
1959,1000286,2,2,2,3,3,999,2,1
1960,1000287,1,2,2,3,3,999,2,3
1961,1000609,2,2,4,3,4,The host communities/citzens are far from settlement,3,3
1962,3001613,1,2,1,1,1,999,1,2
1963,3001608,1,2,1,2,1,999,3,1
1964,3001688,2,3,3,3,2,999,3,1
1965,1002538,1,2,3,3,3,999,3,2
1966,3001395,1,2,1,2,2,None,2,3
1967,3001695,1,3,3,3,3,None,2,3
1968,3001709,1,2,2,2,2,None,2,1
1969,3002186,1,2,2,2,2,None,2,3
1970,3002183,3,2,2,2,2,None,3,4
1971,3001708,3,3,2,2,2,None,2,2
1972,3002184,1,2,2,2,2,None,2,3
1973,3001706,1,3,3,3,3,None,2,3
1974,3001704,2,3,2,3,3,None,3,3
1975,3001703,2,3,2,2,2,999,2,2
1976,3001702,2,2,3,3,3,999,2,3
1977,3001612,2,3,3,3,3,None,3,3
1978,3001614,2,3,2,3,3,None,3,3
1979,3001687,2,3,2,4,3,None,2,3
1980,3001705,1,3,3,3,3,None,3,3
1981,3000792,1,2,2,2,2,None,1,1
1982,3000793,2,2,3,3,2,None,2,2
1983,3000790,2,2,3,3,3,None,2,1
1984,3000791,2,2,2,3,2,None,1,1
1985,3000722,1,1,1,1,1,None,1,1
1986,3000724,3,3,3,3,4,Usually come for work at her place,3,1
1987,3000726,1,2,2,1,2,None,1,1
1988,3002843,2,1,2,2,2,None,2,1
1989,1002508,2,2,2,3,3,None,2,1
1990,1002507,2,1,2,1,3,None,2,1
1991,1002506,1,1,2,2,3,None,2,2
1992,1002505,1,2,2,2,4,They don't come to the village oftenly,2,2
1993,3000059,1,2,3,2,3,None,2,1
1994,3002770,3,2,2,3,3,None,3,1
1995,3002771,3,2,2,1,3,None,2,1
1996,3001412,2,2,2,2,2,999,2,2
1997,3001397,2,2,3,2,2,999,3,1
1998,3001409,3,1,3,2,1,999,2,2
1999,3001411,2,2,2,2,2,999,3,1
2000,2000143,2,2,2,3,2,999,2,1
2001,2000160,1,2,2,2,2,999,1,1
