uhhidfs,uhhidp,d1_1,d1_2,d1_3,d1_4,d1_5,d1_6,d1_7,d1_13,d1_14,d1_8,d1_9,d1_10,d1_11,d1_12,d2,d2other,d3,d3other,d4,d4other,d5,d6
2192,1000398,1,0.5,0.3,0.5,0.5,0.1,0.4,0.4,999,2,2,0.4,0.3,2,5,NA,4,NA,4,NA,10,7
1390,1002902,3,3,2,2,1,1,1,1,4,4,2,2,0.5,2,5,NA,9,NA,9,NA,2,2
1389,1001628,0.5,2,1,1,1,1,1,1,999,999,2,999,0.5,2,5,NA,4,NA,3,NA,0.5,2
2137,1000702,1,2,1,0.3,0.3,0.2,0.5,0.5,999,999,999,0.5,0.5,0.3,1,NA,4,NA,4,NA,10,4
3247,1000085,0.1,5,0.1,3,0.1,0.2,0.5,0.5,999,5,5,0.5,0.01,7,5,NA,2,NA,2,NA,20,4
1383,1003003,2,4,6,999,6,3,6,6,999,999,999,6,2,7,2,NA,4,NA,7,NA,15,6
2388,1000034,1,5,0.5,4,2,2.5,0.5,0.5,4,6,6,0.3,0.2,4,2,NA,2,NA,4,NA,30,7
907,1001555,0.2,3,1,1,1,0.5,0.5,0.5,999,999,0.05,1,0.02,0.02,5,NA,4,NA,3,NA,2,3
3256,1000091,2,8,6,999,5,3,2,2,999,999,999,3,1,3,1,NA,2,NA,2,NA,5,6
2779,1000749,0.5,1,0.3,29,0.3,0.4,0.5,0.5,99,999,999,0.5,0.5,999,5,NA,4,NA,4,NA,20,6
2152,1002988,1,1.5,1,1.5,1.5,0.5,0.3,999,999,999,999,1,1,999,1,NA,4,NA,2,NA,16,6
2141,1000393,0.5,6,0.5,1,6,0.5,0.5,6,999,999,999,6,0.5,6,2,NA,4,NA,4,NA,4,1
2214,1001443,2,3,2,2,3,0.4,2,2,999,999,999,3,0.02,2,5,NA,4,NA,9,NA,15,3
1597,1001930,1,1,0.8,3,1,0.5,0.7,0.7,0.7,4,4,0.7,0.4,5,2,NA,4,NA,9,NA,40,6
2205,1001243,0.5,0.5,1,1,2,0.3,1,1,999,999,999,1,0.02,2,5,NA,4,NA,9,NA,15,3
3255,1000090,2,6,1,3,2,0.5,1.5,1.5,999,7,7,1.5,1.5,7,1,NA,2,NA,2,NA,20,6
2422,1003024,0.17,1,1,999,1.7,2,0.5,0.5,999,10,999,10,0.3,10,2,NA,4,NA,4,NA,8,6
3243,1001976,1,3,2,4,2,1,2,2,999,5,5,2,1,5,1,NA,4,NA,2,NA,50,6
2367,1000016,2,999,2,2,3,1,2,2,999,999,999,999,0.02,1,5,NA,9,NA,9,NA,10,3
2168,1003025,1,2,2,999,2,1,3,3,3,9,999,3,15,1,2,NA,4,NA,9,NA,30,4
2154,1001233,0.2,6,2,0.5,6,1,2,6,999,999,999,6,2,6,1,NA,2,NA,2,NA,4,2
870,1002655,0.03,2,1.5,2,2,1.5,1.5,1.5,30,4,4,2,1.2,4,1,NA,4,NA,9,NA,40,2
2140,1000687,0.5,2,0.3,0.2,0.2,0.2,0.3,0.3,999,999,999,0.3,0.3,0.2,1,NA,4,NA,9,NA,4,4
588,1002341,1.5,2,1.5,999,1.5,1.5,1.5,1.5,999,999,999,4.5,1.5,4,1,NA,4,NA,4,NA,60,7
2171,1002998,3,4,4,999,4,3,4,4,999,999,999,4,3,7,1,NA,4,NA,4,NA,20,7
2368,1000020,2,6,5,5,2,0.5,2,2,999,999,999,999,0.02,0.5,5,NA,4,NA,9,NA,15,3
1601,1001133,1,0.9,0.3,8,6,0.2,0.1,0.1,8,7,7,7,0.5,4,1,NA,4,NA,4,NA,30,7
2158,1001474,0.3,4,0.3,0.3,4,0.2,0.3,4,999,999,999,0.3,0.3,999,1,NA,2,NA,4,NA,20,6
2200,1002092,1,2,3,3,2,0.5,2,2,999,999,999,1,0.5,2,5,NA,4,NA,9,NA,5,3
2175,1001238,1,0.1,0.3,20,0.8,0.8,0.7,0.7,30,6,6,0.5,0.3,6,1,NA,4,NA,4,NA,40,2
2210,1003031,1,3,3,3,3,0.3,3,3,999,999,999,3,0.05,0.02,5,NA,4,NA,9,NA,15,3
3238,1000387,1,8,1,8,8,0.001,1,8,999,14,14,8,0.001,14,1,NA,4,NA,4,NA,20,6
1612,1001231,0.15,1.2,1.2,999,3,1,0.8,0.8,999,999,999,0.8,0.8,999,5,NA,2,NA,2,NA,10,2
871,1002654,1,3,3,4,4,4.5,4,4.5,30,5,5,6,1,5,1,NA,4,NA,9,NA,50,2
2783,1001236,0.2,3,0.9,999,0.9,0.1,1.2,1.2,999,999,999,1.2,1.2,999,5,NA,2,NA,2,NA,20,2
2785,1001228,1,1.5,1.5,999,3,0.7,0.6,0.6,999,999,999,0.6,0.6,999,7,NA,2,NA,4,NA,30,2
1588,1002352,1,2,1,3,1,0.5,3,3,40,5,6,3.5,0.2,7,1,NA,4,NA,4,NA,20,6
2893,1000013,1,6,1,3,3,0.5,1,1,999,999,999,6,1,6,2,NA,2,NA,2,NA,10,2
2218,1000011,3,5,4,4,6,0.5,2,2,999,999,999,999,0.04,2,5,NA,4,NA,10,NA,12,3
2215,1000021,1,1,3,3,3,1,2,2,999,999,999,5,0.04,0.5,5,NA,4,NA,9,NA,6,3
2213,1003030,2,4,2,2,2,0.5,2,2,999,999,999,3,0.05,1,2,NA,4,NA,9,NA,2,3
2212,1003029,2,4,4,4,3,0.5,1,1,999,999,999,2,0.02,3,5,NA,4,NA,9,NA,20,3
3094,1002131,1,6,6,999,6,1,0.8,0.8,999,999,999,6,0.5,0.5,1,NA,4,NA,9,NA,15,7
2904,1000079,0.2,999,0.3,4,0.4,0.5,0.4,0.4,999,999,999,5,0.3,5,1,NA,2,NA,2,NA,2,6
2134,1003010,5,5,5,5.5,5.5,5,3,5,999,999,999,5,5,0.3,5,NA,4,NA,4,NA,10,2
2135,1003008,6,6,5,7,7,4.5,6,4,999,999,999,4,4,0.3,1,NA,4,NA,4,NA,20,4
2136,1000701,0.3,3,0.3,0.1,0.1,0.1,0.2,0.2,999,999,999,0.2,0.2,0.1,1,NA,4,NA,4,NA,4,4
2174,1001241,2,6,8,999,6,3,6,6,999,999,999,6,6,3,2,NA,9,NA,9,NA,2,6
2209,1001245,1,1,2,2,2,0.5,1,1,999,999,999,1,0.02,1,5,NA,4,NA,6,NA,15,3
2170,1001496,3,7,7,999,7,3,7,7,999,999,999,7,3,3,2,NA,9,NA,4,NA,15,2
2902,1000014,2,8,1.5,2,2.5,0.5,1,1,999,999,999,8,1,8,1,NA,2,NA,2,NA,6,2
2167,1000015,2,999,2,6,4,1,2,999,999,999,999,6,2,999,2,NA,2,NA,2,NA,1,4
2886,1000030,1,5,1,2,2,0.3,1,1,999,999,999,5,1,5,2,NA,2,NA,2,NA,15,6
2147,1000525,0.1,5,0.1,0.1,5,0.1,0.1,5,999,999,999,5,5,5.3,2,NA,4,NA,10,NA,6,4
2148,1000395,0.2,6,0.2,0.2,6,0.2,0.2,6,999,999,999,6,6,6,1,NA,4,NA,2,NA,14,4
3232,1000530,0.4,3,0.5,0.5,0.5,0.4,0.5,0.5,32,5,5,0.5,0.5,5,1,NA,4,NA,4,NA,60,6
3235,1000382,2,8,2,8,8,0.001,2,8,99,14,14,8,0.001,14,1,NA,4,NA,4,NA,20,7
2778,1002339,2,6,3,999,3,0.5,3,3,999,999,999,3,3,999,1,NA,4,NA,4,NA,30,6
2201,1002096,2,2,3,3,4,1,2,2,5,999,999,2,0.5,2,5,NA,4,NA,9,NA,0.3,2
2428,1000022,0.6,5,2,5,0.5,0.3,0.2,0.2,999,999,999,6,0.2,4,5,NA,4,NA,4,NA,20,6
1584,1000659,0.5,2,0.3,0.35,0.4,1,0.5,0.3,30,5,5,0.2,1,5,1,NA,4,NA,9,NA,10,2
1405,1002119,2,4,2,2,2,1,2,2,2,999,3,2,0.01,2,5,NA,4,NA,10,NA,8,4
3257,1000084,1,8,3,8,2,1,3,3,999,999,999,3,2,3,1,NA,1,NA,1,NA,1,6
589,1002343,0.2,6,1,999,1,1,6,6,999,999,999,6,0.5,999,2,NA,4,NA,6,NA,20,7
2226,1001624,1,4,1,3,1,3,2,2,35,7,7,1,0.5,10,5,NA,4,NA,4,NA,30,6
2133,1000713,0.2,0.3,0.2,0.1,0.1,0.1,0.2,0.2,999,999,999,0.2,0.2,0.1,1,NA,4,NA,6,NA,4,6
2155,1001260,0.3,7,3,2,7,0.2,2,7,999,999,999,2,2,999,2,NA,2,NA,2,NA,10,4
2903,1000073,0.1,8,0.3,2,0.1,0.1,0.2,0.2,999,999,999,8,0.2,8,1,NA,2,NA,4,NA,8,4
381,1000825,0.15,1,0.15,30,0.15,0.05,0.5,0.5,999,999,999,0.5,0.6,999,1,NA,4,NA,4,NA,20,2
2190,1001625,0.5,3,0.1,2,0.5,0.5,0.1,0.2,999,10,7,1,0.01,10,5,NA,4,NA,4,NA,30,7
2173,1001239,3,6,6,999,6,3,6,6,999,999,999,6,6,3,1,NA,4,NA,9,NA,15,6
2189,1000083,0.2,6,0.5,5,0.5,0.3,1,4,999,999,5,1,1,7,1,NA,2,NA,2,NA,30,6
2786,1001229,1,2,2,999,3,0.2,0.5,0.5,999,999,999,0.5,0.5,10,2,NA,4,NA,4,NA,30,2
2176,1001237,30,40,40,999,40,3,4,4,999,999,999,4,3,6,2,NA,1,NA,6,NA,2,4
2177,1000986,1,1,2,2,1,1,1,1,20,2,2,1,1,2,1,not having any,2,NA,4,NA,60,2
2421,1003023,0.2,1.5,1.5,999,1.5,1,0.3,0.3,999,10,999,10,0.3,10,2,NA,4,NA,4,NA,10,6
2179,1000657,0.3,0.5,0.25,20,0.12,1.5,0.2,0.2,30,7,7,2,1,6,1,NA,4,NA,4,NA,40,6
2172,1001240,3,6,4,999,6,3,6,6,999,999,999,6,3,6,2,NA,2,NA,9,NA,15,7
2202,1002080,1,1,3,3,3,3,3,3,999,999,999,3,2,2,5,NA,4,NA,9,NA,5,3
2183,1001442,3,3,3,20,3,1,2,2,20,5,5,2,0.1,5,1,NA,4,NA,9,NA,60,7
1406,1001973,2,3,5,5,5,1,3,3,999,999,999,5,2,999,5,NA,4,NA,9,NA,18,4
3093,1002122,6,6,6,999,6,3,6,6,999,999,999,6,2,4,5,NA,4,NA,6,NA,20,7
3156,1003007,3,2,2,3,1,1,2,2,2,3,3,1,0.05,3,1,NA,4,NA,9,NA,30,2
1608,1000396,0.1,7,0.14,999,6,0.1,0.2,0.2,999,999,999,6,0.2,999,8,NA,4,NA,4,NA,4,6
3370,1002905,0.5,2,2,999,2,1,0.5,0.5,999,10,999,2,0.5,10,2,NA,4,NA,4,NA,30,6
2187,1001137,0.1,3,1.5,1.5,5,0.2,0.5,16,999,25,25,25,0.5,25,5,NA,4,NA,4,NA,30,7
2423,1002906,0.5,2,2,999,2,1,0.6,0.6,999,999,999,7,0.5,7,4,NA,4,NA,4,NA,20,6
1610,1000595,0.3,7,0.2,999,4,0.2,0.1,0.1,999,999,999,0.1,0.1,999,8,NA,4,NA,4,NA,15,3
3092,1000686,2,3,4,4,2,0.5,1,1,999,999,999,1,0.05,1,5,NA,4,NA,9,NA,15,4
2227,1002908,2,15,1,7,1,1,1,3,999,7,7,1,1,7,5,NA,12,NA,4,NA,20,6
3237,1000384,2,8,2,8,8,0.2,2,8,99,14,14,8,0.001,14,1,NA,4,NA,4,NA,40,7
2181,1001503,3,3,3,15,3,1,3,3,20,6,6,3,0.5,5,1,NA,4,NA,9,NA,45,2
1611,1001232,0.1,1,1,999,3,0.1,1,1,999,999,999,1,1,999,2,NA,2,NA,2,NA,30,2
1587,1002657,1.5,6,1,0.5,1,1,6,6,30,10,10,6,1,6,1,NA,4,NA,9,NA,30,2
586,1002340,2,2,2,4,2,2,4,4,999,999,999,2,2,10,2,NA,4,NA,4,NA,60,7
2789,1001706,0.5,18,2.5,2.5,12,1,2,2,999,999,999,3,0.05,3,5,NA,4,NA,9,NA,15,4
2208,1001246,0.5,0.5,0.5,0.5,3,0.3,1,1,999,999,999,1,0.03,2,5,NA,4,NA,9,NA,10,4
2784,1001227,2,2,0.5,999,4,0.3,0.5,0.5,999,999,999,0.5,0.5,999,5,NA,4,NA,2,NA,15,6
1404,1002121,1,2,2,2,4,2,2,2,999,5,5,2,0.5,2,5,NA,9,NA,9,NA,8,3
578,1000824,1,1,0.3,999,0.2,0.05,0.5,0.5,999,999,999,1,1,999,2,NA,2,NA,4,NA,2,2
2145,1000389,0.5,4,0.5,0.6,4,0.5,0.5,4,999,999,999,4,0.5,4,1,NA,4,NA,4,NA,10,6
2211,1003032,3,3,4,2,3,0.5,2,2,999,7,7,3,0.02,1,5,NA,4,NA,9,NA,4,3
2188,1000092,1,5,0.5,2,0.5,0.1,1,5,999,7,7,1,0.5,7,1,NA,2,NA,2,NA,30,4
1397,1000651,2,3,2,2,1,1,0.5,0.5,1,999,0.5,999,0.02,0.5,5,NA,4,NA,9,NA,30,3
1386,1001557,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,999,999,1,999,0.5,1,5,NA,4,NA,6,NA,15,2
2391,1000040,2.5,4.5,1,3,2.4,1,1,1,4.5,3,3,1,1,3,2,NA,2,NA,4,NA,25,7
867,1001249,0.3,2,2,20,2,0.3,0.3,0.3,0.6,5,5,2,1,5,2,NA,2,NA,4,NA,10,2
1583,1000654,2.5,2,0.8,0.8,0.5,0.5,0.2,0.2,60,7,7,0.2,0.1,7,1,NA,4,NA,9,NA,25,2
2185,1001139,0.6,0.8,0.5,0.5,4,0.1,0.3,4,999,25,25,0.3,0.3,25,5,NA,4,NA,4,NA,30,4
1581,1003018,1,6,1.2,1.5,1,1,6,6,30,12,12,7,2,6,1,NA,4,NA,9,NA,20,2
