uhhidfs,uhhidp,c5_1,c5_2,c5_3,c5_4,c5_5,c5_6,c5_7,c5_8,c5_9,c5_10,c5_11,c5_12,c5_14,c5_15,c5_16,c6_1,c6_2,c6_3,c6_4,c6_5,c6_6,c6_7,c6_8,c6_9,c6_10,c6_11,c6_12,c6_13,c6_14,c6_15,c6_16,c6_17,c6_18,c7,c8,c8b
38,1001683,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,2,3,2.5,1
2896,1000039,2,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,2,2,3,4,0.25,0.0025,2
3249,1000082,3,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,5,2.5,2,2
2898,1000008,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4,2,0,2,3,0.3,0.25,1
2392,1000032,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,2,3,0.4,0.2,1
3251,1000078,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,4,3,2,1.5,1
2139,1000712,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,2,0.4,0,2
1393,1002903,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0.9,1
1596,1001931,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,5,1,2,2,6,4,4,1
2166,1001379,2,0,0,1,0,2,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,2,2,1,1,1,3,8,5,1
1609,1000394,2,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,2,4,3,3,1
3254,1000075,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,5,0,0,1
869,1001080,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,5,1,0.5,1
1607,1000598,5,1,0,1,0,1,1,0,0,0,0,0,2,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,4,2,1,1,1
3088,1002162,5,2,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,2,0,0,0,1,0,1,4,1,1,3,3,4,3,1
2164,1001386,8,1,0,0,0,1,0,0,0,1,1,0,1,3,0,1,1,0,0,0,1,0,0,0,0,0,0,1,4,1,1,2,5,15,5.25,1
1602,1001135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,5,6,0.4,0.025,1
2370,1000027,2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,3,0.3,0.25,1
1599,1001138,1,0,0,0,0,0,0,8,8,8,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,0.4,0,1
1590,1002350,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,1,1,3,6,5,5,1
865,1001082,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,4,0.6,0.5,1
1589,1002351,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,1,1,3,5,3,3,1
587,1002336,5,1,0,0,0,1,1,0,0,0,0,1,3,2,0,1,1,0,0,0,1,1,0,0,1,0,0,1,5,4,4,4,4,3,3,1
