uhhidfs,uhhidp,g2_1,g2_2,g2_3,g2_4,g2_5,g2_6,g2_7,g2_8,g2_9,g2_10,g2_11,g2_12,g2_13,g2_14,g2_15,g2_16,g2_17,g2_18
125,4000125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
126,4000126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,4000127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,4000128,7,2,2,0,0,0,0,5,0,0,1,3,0,0,0,0,0,2
129,4000129,5,3,2,5,2,2,0,0,0,5,0,0,0,0,0,0,0,0
130,4000130,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
131,4000131,3,3,1,2,0,0,0,4,0,0,0,3,1,0,0,0,0,0
132,4000132,7,1,2,0,7,7,0,2,2,3,2,4,0,0,0,0,0,4
133,4000133,4,0,0,0,7,7,0,0,4,5,2,4,2,0,0,0,0,0
134,4000134,3,1,0,1,0,0,0,1,2,0,0,2,0,0,0,0,0,3
135,4000135,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,3000070,0,2,0,0,7,7,7,7,7,0,0,2,0,0,0,0,1,0
137,3000071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,3000273,7,0,1,0,0,0,3,2,0,0,2,3,0,0,0,0,0,0
139,2000459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2000460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,3000272,7,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0
142,3000269,7,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2
143,3000271,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
144,3000407,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,3
145,3000408,0,1,1,2,0,2,3,0,1,0,0,1,0,1,0,0,0,0
146,3000409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,2000458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,2000461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,3000162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2000555,0,3,2,2,5,0,0,3,3,0,0,0,2,0,0,0,0,0
151,3000154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,2000650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
153,2000652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,3000411,3,2,1,1,2,3,0,0,0,0,0,0,0,0,1,1,1,0
155,2000595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
156,2000641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,2000551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,3000069,7,4,3,0,0,5,2,5,0,0,3,3,2,2,0,0,2,5
159,1000351,7,0,6,3,0,0,2,7,7,2,2,7,6,0,2,0,0,7
160,1000458,3,7,2,0,4,2,0,7,2,0,1,7,1,0,0,0,3,0
161,3000245,7,1,0,3,2,0,0,0,2,1,0,7,1,3,0,0,0,7
162,1000303,7,2,2,0,1,3,0,5,5,0,1,7,2,0,0,2,3,0
163,1000261,7,0,1,0,0,3,0,7,0,0,1,2,0,0,0,0,0,0
164,1000469,7,0,0,0,6,4,2,3,0,0,1,7,2,0,0,0,5,0
165,1000350,3,3,2,0,3,2,0,5,7,1,2,5,2,1,3,0,2,1
166,3000241,4,0,2,0,3,1,0,3,2,5,1,4,0,0,3,0,0,0
167,1001679,7,0,0,0,0,0,0,7,0,0,1,7,0,0,0,0,0,0
168,1000589,7,2,2,2,0,0,0,7,7,0,2,7,0,0,0,0,0,0
169,1000445,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,2000522,7,0,0,0,0,0,0,7,0,3,0,7,0,0,0,0,0,0
171,2000523,7,0,0,0,0,0,0,7,7,0,0,7,0,0,0,0,0,0
172,2000524,7,0,0,0,0,0,0,7,7,0,0,7,0,0,0,0,0,0
173,2000525,7,0,0,0,0,0,0,7,7,0,0,2,2,0,0,0,0,0
174,2000362,3,0,0,0,0,0,0,3,0,0,1,7,0,0,0,0,0,0
175,1002402,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,1002405,5,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0
177,1001753,1,2,1,1,1,1,1,2,1,0,0,2,0,1,0,0,2,0
178,1001749,1,2,0,0,0,2,1,3,0,1,0,2,0,0,0,1,0,0
179,1001750,1,2,2,0,2,0,0,2,1,1,0,3,0,2,1,1,2,1
180,1001751,2,1,2,0,0,1,0,2,1,1,0,2,0,2,0,1,2,2
181,1000380,2,1,1,0,2,0,2,1,4,2,0,2,2,2,0,0,0,2
182,1001996,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
183,1001995,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
184,1002411,3,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0
185,1000992,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,1001678,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2
187,1000319,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
188,1000320,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,1000993,2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
190,2000055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,2000123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,2000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,2000056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,2000127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,2000054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,1002406,0,0,2,0,4,0,0,0,0,1,1,0,1,0,0,0,0,5
197,1002285,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1
198,1002410,1,0,0,0,3,0,0,1,3,1,2,3,3,0,0,2,0,5
199,3000102,0,2,0,0,0,0,0,2,2,0,0,4,0,0,0,0,0,0
200,1002407,2,3,1,2,0,0,0,1,0,0,1,0,0,2,0,2,2,2
201,3000189,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1
202,3000191,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,2
203,3000103,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
204,3000946,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,3000945,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
206,3000943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,3000932,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3
208,3000933,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
209,3000934,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,3000936,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
211,2000078,3,2,2,0,0,0,0,4,3,0,0,2,0,0,0,0,0,2
212,3000940,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,2000077,3,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
214,2000085,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
215,2000100,2,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0
216,2000075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,2000079,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
218,2000097,5,0,1,0,0,0,0,7,0,0,0,6,0,0,0,0,0,3
219,3001019,0,1,0,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0
220,3001018,3,4,5,3,5,4,2,6,0,0,2,4,2,1,0,0,0,4
221,3001017,4,1,0,1,2,5,0,5,0,0,1,4,1,0,0,0,0,6
222,3001021,4,3,3,3,5,3,0,6,0,0,5,5,0,1,0,0,0,0
223,2000614,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,3001054,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,2000603,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,2000616,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
227,2000613,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
228,2000602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,3000094,3,0,0,0,2,0,0,7,0,0,0,2,0,0,0,0,2,0
230,3000096,4,2,0,0,3,0,0,7,0,0,0,4,0,0,0,0,3,2
231,3000101,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0
232,3000234,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
234,2000688,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
235,2000601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,2000405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,2000404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,2000121,5,3,0,0,0,3,0,5,0,0,0,2,0,0,0,0,0,0
239,2000051,5,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0
240,2000053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,2000122,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,1000218,7,0,0,1,2,0,0,0,2,2,1,3,2,0,3,0,1,5
243,3000140,2,3,5,5,1,1,3,4,3,3,1,3,3,3,2,2,3,6
244,3000139,5,0,2,4,3,1,0,7,7,7,1,4,3,0,0,0,0,0
245,3000138,2,0,3,5,3,1,0,4,3,3,1,4,3,0,0,0,3,2
246,3000142,4,0,1,4,6,2,0,7,5,0,1,7,2,0,0,0,0,0
247,3000143,7,0,1,3,2,1,0,2,0,0,1,7,0,0,0,0,0,0
248,3000264,7,0,3,0,0,0,0,7,7,0,0,7,0,0,0,0,0,0
249,3000267,7,0,2,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0
250,1000919,5,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2
251,3000150,7,0,7,0,0,0,0,7,7,0,0,4,1,0,0,0,0,0
252,3000147,7,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,2
253,3000145,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
254,1001021,7,0,2,0,0,0,0,7,5,0,0,7,0,0,0,0,0,0
255,1000920,7,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0
256,1001020,3,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0
257,3000261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,3000259,2,0,0,0,0,1,0,7,7,0,0,7,0,7,0,0,0,0
259,1002608,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
260,1002607,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
261,1002664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,1002672,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
263,3000132,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
264,3000136,1,0,0,1,2,0,0,1,0,0,0,2,0,0,0,0,2,0
265,3000134,2,0,0,0,3,0,0,2,0,0,2,3,0,0,0,0,0,0
266,3001023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,3001066,1,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
268,3001025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,3001067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,3001024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,2000415,7,5,0,0,4,7,0,7,7,2,0,2,0,0,0,0,1,0
272,2000339,6,4,0,0,0,5,0,6,5,0,0,2,0,0,0,0,0,3
273,2000337,0,0,0,0,0,5,0,6,6,0,0,0,0,0,0,0,0,0
274,2000416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,2000413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,2000417,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,2000340,7,0,0,0,0,5,0,7,6,0,0,2,0,0,0,0,0,0
278,2000336,7,5,3,0,0,2,0,7,0,0,0,5,2,0,0,0,0,2
279,2000414,5,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0
280,1000452,7,4,2,0,3,3,0,7,1,1,2,7,3,0,3,1,3,0
281,1000365,7,2,2,3,3,3,0,7,0,0,2,7,2,0,0,0,3,0
282,1000441,7,3,2,0,2,5,1,7,2,7,3,7,2,0,2,0,5,0
283,1001675,7,5,2,0,1,7,0,7,2,1,2,7,2,0,3,0,4,0
284,1000164,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
285,1000155,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
286,1000219,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,1000165,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,3001509,7,2,0,0,3,3,0,7,5,0,0,0,0,0,0,0,0,0
289,3000428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,3001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,3001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,3001550,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
293,3001508,7,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,5
294,1002404,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,1002358,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,1002287,1,1,3,0,0,0,0,4,1,2,1,1,1,0,0,0,0,1
297,2000687,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
298,3001553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
299,2000600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,3000427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,3000429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,3000432,4,1,0,2,1,0,0,2,3,0,0,0,0,0,0,0,0,0
303,3000563,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,1000439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,1000584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,1000349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,3000430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,3002353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,1002423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,1000366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,3000431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,3000982,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,3000995,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
314,3000983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,3000984,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,3000992,2,2,0,0,0,1,0,2,0,1,1,1,0,0,0,1,0,0
317,3000997,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,3001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,1002288,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
320,1002297,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,1002510,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
322,1002587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,1002355,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,1002509,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,1002363,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,1000308,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4
327,1000309,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
328,1001728,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
329,1001727,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,1000345,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,1000587,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0
